reCAT_ChosenMeterspontaneous-taps,reCAT_ChosenMeterp01-2C307-3C507,reCAT_ChosenMeterp02-2C304-3C510,reCAT_ChosenMeterp03-2C301-3C513,reCAT_ChosenMeterp04-2C507-3C307,reCAT_ChosenMeterp05-2C504-3C310,reCAT_ChosenMeterp06-2C501-3C313,reCAT_ChosenMeterp07-3C307-4C507,reCAT_ChosenMeterp08-3C310-4C504,reCAT_ChosenMeterp09-3C313-4C501,reCAT_ChosenMeterp10-3C507-4C307,reCAT_ChosenMeterp11-3C510-4C304,reCAT_ChosenMeterp12-3C513-4C301,reCAT_ChosenMeterp13-2C407-3C407,reCAT_ChosenMeterp14-2C404-3C410,reCAT_ChosenMeterp15-2C401-3C413,reCAT_ChosenMeterp16-3C407-4C407,reCAT_ChosenMeterp17-3C410-4C404,reCAT_ChosenMeterp18-3C413-4C401
77,30,77,77,77,30,22,12,13,12,12,13,99,30,99,77,77,12,99
88,99,12,77,88,77,22,88,12,99,77,77,88,77,88,77,77,88,77
77,30,30,30,30,30,30,30,30,30,30,77,30,30,30,30,30,30,30
77,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
77,12,77,12,22,22,88,12,12,12,22,99,22,77,88,77,77,77,77
77,77,12,12,22,77,22,12,77,12,22,22,99,77,77,77,77,22,88
88,99,77,99,99,77,99,99,88,99,99,99,77,99,99,99,99,99,99
77,23,23,23,23,23,99,77,23,23,23,22,23,88,23,77,23,23,23
77,77,77,77,88,77,77,12,12,12,12,77,77,77,22,77,12,12,12
77,12,12,12,77,22,22,12,12,12,77,22,22,22,22,22,22,22,22
77,22,77,12,22,22,12,12,12,12,12,12,12,22,77,22,12,12,12
77,22,22,22,22,22,22,12,12,12,12,12,12,22,22,22,12,12,12
77,12,12,12,77,77,77,12,12,12,12,12,22,77,12,77,12,88,22
77,22,22,22,22,22,22,12,77,12,22,23,22,22,22,22,11,12,12
77,12,12,30,30,22,30,12,12,12,23,23,23,22,30,12,12,12,23
77,22,22,22,22,22,22,12,12,12,12,12,12,22,77,22,12,12,12
77,22,22,22,22,22,22,12,11,11,11,11,11,22,22,22,11,11,11
77,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
77,22,12,22,22,22,22,12,22,22,12,22,22,22,22,77,12,22,22
77,22,22,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
77,12,12,12,22,22,30,12,88,77,22,12,88,30,23,22,12,13,12
77,22,77,22,22,22,22,12,12,12,12,12,12,22,30,77,12,12,12
77,12,12,12,30,23,77,12,12,12,22,22,12,30,12,12,12,12,12
88,12,77,22,77,22,22,12,12,12,12,22,22,22,22,22,12,12,22
77,99,12,30,77,99,99,99,99,12,77,99,99,99,99,99,99,22,77
77,22,22,77,22,12,12,12,12,12,12,12,12,22,22,12,12,12,12
77,22,77,77,77,77,77,77,88,77,99,88,88,77,88,77,77,88,22
77,22,12,12,22,22,22,12,22,12,12,22,22,22,22,22,12,12,22
77,30,99,77,23,77,22,12,12,12,12,12,88,30,77,77,12,12,88
77,22,88,22,22,22,22,12,12,12,88,12,22,22,22,22,12,12,12
99,12,12,12,12,88,88,12,12,88,88,88,12,88,12,12,12,88,88
77,12,12,12,22,22,22,12,12,12,12,22,22,77,22,22,12,12,99
77,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
77,12,12,77,22,22,22,12,12,12,22,22,22,22,22,12,12,12,12
99,99,99,99,99,30,30,30,12,99,99,99,77,30,77,30,30,99,99
88,12,22,22,22,22,22,12,11,11,11,77,77,77,22,77,77,11,77
77,12,12,12,23,22,77,12,12,12,23,22,22,22,12,88,12,12,12
77,12,12,12,22,12,77,12,12,12,22,22,22,12,12,12,12,12,12
88,23,77,77,22,22,88,77,12,77,13,77,77,30,77,77,30,12,77
77,12,12,12,12,22,12,12,12,12,12,12,22,12,12,12,12,12,12
77,12,12,77,22,23,22,12,12,12,12,77,23,77,23,12,12,23,12
77,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
77,12,12,12,12,22,12,12,12,12,22,22,12,12,12,12,12,12,22
77,22,22,23,22,22,22,12,12,12,12,12,77,22,77,99,12,99,12
77,22,22,22,22,22,22,12,12,12,12,12,12,22,22,22,12,12,12
77,12,12,12,77,12,12,12,12,12,12,12,12,12,12,12,12,12,12
99,22,12,77,22,22,77,77,12,12,22,12,12,77,77,22,12,12,12
77,77,30,30,30,30,30,30,12,30,99,77,30,30,30,30,30,30,30
77,22,12,12,12,22,22,12,12,12,12,12,12,22,22,12,12,12,12
77,77,77,77,40,77,77,77,77,11,77,77,77,77,77,77,77,77,77
77,22,22,22,22,22,22,12,12,12,12,12,12,22,22,22,12,12,77
77,12,12,12,12,22,12,12,12,12,12,12,12,22,12,30,12,12,12
77,22,22,22,22,22,22,12,12,22,12,22,12,22,22,22,12,12,12
77,22,22,22,22,22,22,12,12,12,12,12,12,22,22,22,12,12,12
77,22,22,22,99,23,22,12,12,12,12,88,12,30,30,12,12,12,12
77,22,22,22,22,22,22,12,12,12,12,12,12,22,22,22,12,12,12
99,30,30,12,12,30,30,12,12,12,12,12,13,30,30,30,13,12,13
77,77,30,30,30,30,23,23,77,77,23,77,77,30,30,30,30,23,30
77,12,12,12,22,22,22,12,12,12,22,22,22,22,22,22,12,12,12
77,77,23,77,23,12,77,12,12,12,12,12,22,23,23,23,12,12,12
77,12,12,12,12,12,12,12,12,99,77,12,12,77,22,12,12,12,12
77,22,22,22,22,12,22,12,12,12,12,12,12,22,22,22,12,12,12
77,22,22,77,22,22,23,12,12,12,12,12,12,23,23,23,12,12,12
77,22,77,77,22,22,22,12,12,12,12,12,12,22,22,30,12,12,12
99,12,12,12,22,22,22,12,12,12,12,12,22,12,99,12,12,99,12
99,77,77,22,22,22,22,12,11,77,11,77,77,77,77,22,12,11,11
77,22,22,22,22,22,22,12,77,12,12,12,12,22,30,22,12,88,88
77,30,77,30,30,22,30,12,12,12,12,12,12,22,30,23,12,23,23
77,22,22,22,22,22,12,12,12,12,12,12,12,22,22,22,12,12,12
77,99,30,30,99,30,30,30,30,99,99,30,30,99,77,30,30,30,88
77,40,12,40,40,12,22,11,11,11,12,12,22,22,12,22,11,12,12
77,22,22,22,22,22,22,12,12,12,12,12,12,22,22,22,12,12,22
77,22,12,22,22,12,12,12,12,12,22,22,12,30,22,12,12,12,22
99,12,77,77,22,77,22,12,30,88,88,22,22,77,30,77,30,99,77
88,12,12,12,12,12,12,12,12,12,12,12,12,77,12,88,12,12,12
77,22,12,12,30,22,88,12,12,88,12,22,22,30,12,12,12,12,22
99,77,77,12,77,77,77,77,77,77,12,88,22,77,77,77,77,77,77
77,77,77,77,77,77,77,77,77,77,22,77,77,77,77,77,77,77,77
